course_id,course_short_title,course_long_title,learner_id,certification_id,certified,country,learner_qualification,learners_year_of_birth,age,gender,grade,start_time_DI,last_event_DI,number_of_days_active,number_of_chapters,number_of_forum_post,incomplete_flag
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130467019,245907,0,Europe,Secondary,1996,17,,0,01-02-2013,01-02-2013,1,,0,1
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130050885,142152,0,United Kingdom,Secondary,1996,17,,0,04-02-2013,04-02-2013,1,,0,0
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130243770,943823,0,China,Secondary,1993,20,,0,21-05-2013,,1,,0,1
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130228798,633335,1,Europe,Secondary,1999,14,,,24-01-2013,24-01-2013,1,2,0,0
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130215959,721102,0,Bangladesh,Secondary,1992,21,,,20-01-2013,20-01-2013,1,1,0,0
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130132803,742691,0,Middle East,Secondary,1994,19,,0,03-02-2013,03-02-2013,1,,0,0
MITx/3.091x/2013_Spring,SSChem,Introduction to Solid State Chemistry,MHxPC130405424,915780,0,South Asia,Secondary,1999,14,,0,31-05-2013,,11,,0,1
MITx/6.002x/2013_Spring,Circuits,Circuits and Electronics,MHxPC130132663,252272,1,Spain,Secondary,1995,18,,0,22-01-2013,22-01-2013,1,,0,0
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130060011,600159,0,Canada,Secondary,1998,15,,0,12-08-2012,,1,,0,1
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130431442,889673,1,Europe,Secondary,1990,23,,,27-01-2013,28-01-2013,2,7,0,0
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130006331,826282,1,Philippines,Secondary,1997,16,,0,02-02-2013,02-02-2013,1,,0,0
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130123550,798533,1,Unknown/Other,Secondary,1992,21,,0,02-03-2013,,,1,0,0
MITx/3.091x/2013_Spring,SSChem,Introduction to Solid State Chemistry,MHxPC130467910,352863,0,United States,Secondary,1997,16,,,27-06-2013,,5,16,0,0
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130578990,928275,0,Europe,Secondary,1995,18,m,,25-01-2013,29-01-2013,2,1,0,0
MITx/6.002x/2012_Fall,Circuits,Circuits and Electronics,MHxPC130176854,140120,0,United States,Secondary,1991,22,,,30-01-2013,04-02-2013,4,2,0,0
MITx/3.091x/2012_Fall,SSChem,Introduction to Solid State Chemistry,MHxPC130448686,242901,0,Brazil,Secondary,1990,23,m,0,01-09-2012,,13,,0,0
MITx/3.091x/2013_Spring,SSChem,Introduction to Solid State Chemistry,MHxPC130234609,758502,0,Pakistan,Secondary,1991,22,,0,14-02-2013,,1,1,0,1
MITx/3.091x/2013_Spring,SSChem,Introduction to Solid State Chemistry,MHxPC130481128,919281,1,Brazil,Secondary,1991,22,,0,26-05-2013,,49,,0,0
MITx/3.091x/2013_Spring,SSChem,Introduction to Solid State Chemistry,MHxPC130245936,105300,0,United States,Secondary,1997,16,,0,21-01-2013,21-01-2013,1,,0,0
MITx/6.00x/2013_Spring,CS,Introduction to Computer Science and Programming,MHxPC130453833,648395,0,Canada,Secondary,1993,20,m,0,11-02-2013,,6,2,0,1
MITx/14.73x/2013_Spring,Poverty,The Challenges of Global Poverty,MHxPC130403330,324604,0,Africa,Secondary,1994,19,,0,06-02-2013,06-02-2013,1,,0,0
